employee_id,pay_rate,year
238,16.5,2021
697,16,2021
896,16,2021
1887,17,2021
2716,20.5,2021
2898,17.5,2021
4245,16.5,2021
4698,26.5,2021
5603,,2021
6307,17.5,2021
6896,16.25,2021
6989,17.5,2021
7044,14.5,2021
7062,26.5,2021
7111,17.5,2021
7195,16.25,2021
7376,20.5,2021
7997,17.5,2021
8450,17.5,2021
8578,25.5,2021
8920,17.5,2021
9037,23.5,2021
9274,23.5,2021
9863,18.5,2021
9965,16,2021
238,17,2022
697,16.5,2022
896,16.5,2022
1887,17.5,2022
2524,16.5,2022
2716,21,2022
2898,18,2022
4245,17,2022
4491,21,2022
4526,16.25,2022
4632,19,2022
4698,27,2022
5603,16.75,2022
5977,17,2022
6307,18,2022
6896,16.75,2022
6989,18,2022
7044,15,2022
7062,27,2022
7111,,2022
7139,17,2022
7195,16.75,2022
7376,21,2022
7997,18,2022
8450,18,2022
8578,26,2022
8920,18,2022
9037,24,2022
9274,24,2022
9424,23,2022
9863,19,2022
9965,16.5,2022
238,17.5,2023
697,17,2023
896,17,2023
1887,,2023
2524,17,2023
2716,21.5,2023
2898,18.5,2023
4245,17.5,2023
4261,17,2023
4491,21.5,2023
4526,16.75,2023
4632,19.5,2023
4698,27.5,2023
5603,17.25,2023
5977,17.5,2023
6042,17,2023
6307,18.5,2023
6896,17.25,2023
6989,18.5,2023
7044,15.5,2023
7062,27.5,2023
7111,18.5,2023
7139,17.5,2023
7195,17.25,2023
7376,21.5,2023
7804,17.25,2023
7997,18.5,2023
8450,18.5,2023
8578,,2023
8920,18.5,2023
9037,24.5,2023
9184,18.5,2023
9274,24.5,2023
9424,23.5,2023
9863,19.5,2023
9965,17,2023
40,16,2024
214,29,2024
238,18,2024
697,17.5,2024
896,17.5,2024
1408,16,2024
1429,16.5,2024
1887,18.5,2024
2524,17.5,2024
2716,22,2024
2898,19,2024
4245,18,2024
4261,17.5,2024
4408,17.5,2024
4482,16,2024
4491,22,2024
4526,17.25,2024
4632,20,2024
4698,28,2024
5256,31.25,2024
5603,17.75,2024
5977,18,2024
6042,17.5,2024
6307,19,2024
6637,19,2024
6896,17.75,2024
6989,19,2024
7044,16,2024
7062,28,2024
7111,19,2024
7139,18,2024
7195,17.75,2024
7376,22,2024
7804,17.75,2024
7997,19,2024
8450,19,2024
8578,,2024
8863,16,2024
8920,19,2024
9037,,2024
9184,19,2024
9274,25,2024
9424,24,2024
9863,20,2024
9965,17.5,2024
