employee_id,pay_rate,year,department,Supervisor
238,16.5,2021,LOGISTICS AND DISTRIBUTION,Linda
697,16.0,2021,RESEARCH AND DEVELOPMENT,Elizabeth
896,16.0,2021,WAREHOUSE,Robert
1887,17.0,2021,WAREHOUSE,William
2716,20.5,2021,LOGISTICS AND DISTRIBUTION,Linda
2898,17.5,2021,MARKETING,Lisa
4245,16.5,2021,WAREHOUSE,Robert
4698,26.5,2021,MARKETING,Sandra
5603,,2021,SALES,Sarah
6307,17.5,2021,QUALITY CONTROL,James
6896,16.25,2021,RESEARCH AND DEVELOPMENT,Jessica
6989,17.5,2021,RESEARCH AND DEVELOPMENT,Elizabeth
7044,14.5,2021,SALES,David
7062,26.5,2021,CUSTOMER SERVICE,Nancy
7111,17.5,2021,WAREHOUSE,Robert
7195,16.25,2021,RESEARCH AND DEVELOPMENT,Jessica
7376,20.5,2021,WAREHOUSE,William
7997,17.5,2021,SALES,David
8450,17.5,2021,MAINTENANCE,Matthew
8578,25.5,2021,OTHER,Charles
8920,17.5,2021,LOGISTICS AND DISTRIBUTION,Susan
9037,23.5,2021,SALES,Sarah
9274,23.5,2021,SALES,Karen
9863,18.5,2021,RESEARCH AND DEVELOPMENT,Jennifer
9965,16.0,2021,WAREHOUSE,Richard
238,17.0,2022,LOGISTICS AND DISTRIBUTION,Linda
697,16.5,2022,RESEARCH AND DEVELOPMENT,Elizabeth
896,16.5,2022,WAREHOUSE,Robert
1887,17.5,2022,WAREHOUSE,William
2524,16.5,2022,RESEARCH AND DEVELOPMENT,Jessica
2716,21.0,2022,LOGISTICS AND DISTRIBUTION,Linda
2898,18.0,2022,MARKETING,Lisa
4245,17.0,2022,WAREHOUSE,Robert
4491,21.0,2022,CUSTOMER SERVICE,Nancy
4526,16.25,2022,SALES,Karen
4632,19.0,2022,RESEARCH AND DEVELOPMENT,Jessica
4698,27.0,2022,MARKETING,Sandra
5603,16.75,2022,SALES,Sarah
5977,17.0,2022,RESEARCH AND DEVELOPMENT,Thomas
6307,18.0,2022,QUALITY CONTROL,James
6896,16.75,2022,RESEARCH AND DEVELOPMENT,Jessica
6989,18.0,2022,RESEARCH AND DEVELOPMENT,Elizabeth
7044,15.0,2022,SALES,David
7062,27.0,2022,CUSTOMER SERVICE,Nancy
7111,,2022,WAREHOUSE,Robert
7139,17.0,2022,WAREHOUSE,Patricia
7195,16.75,2022,RESEARCH AND DEVELOPMENT,Jessica
7376,21.0,2022,WAREHOUSE,William
7997,18.0,2022,SALES,David
8450,18.0,2022,MAINTENANCE,Matthew
8578,26.0,2022,OTHER,Charles
8920,18.0,2022,LOGISTICS AND DISTRIBUTION,Susan
9037,24.0,2022,SALES,Sarah
9274,24.0,2022,SALES,Karen
9424,23.0,2022,PROCUREMENT,Christopher
9863,19.0,2022,RESEARCH AND DEVELOPMENT,Jennifer
9965,16.5,2022,WAREHOUSE,Richard
238,17.5,2023,LOGISTICS AND DISTRIBUTION,Linda
697,17.0,2023,RESEARCH AND DEVELOPMENT,Elizabeth
896,17.0,2023,WAREHOUSE,Robert
1887,,2023,WAREHOUSE,William
2524,17.0,2023,RESEARCH AND DEVELOPMENT,Jessica
2716,21.5,2023,LOGISTICS AND DISTRIBUTION,Linda
2898,18.5,2023,MARKETING,Lisa
4245,17.5,2023,WAREHOUSE,Robert
4261,17.0,2023,QUALITY CONTROL,John
4491,21.5,2023,CUSTOMER SERVICE,Nancy
4526,16.75,2023,SALES,Karen
4632,19.5,2023,RESEARCH AND DEVELOPMENT,Jessica
4698,27.5,2023,MARKETING,Sandra
5603,17.25,2023,SALES,Sarah
5977,17.5,2023,RESEARCH AND DEVELOPMENT,Thomas
6042,17.0,2023,CUSTOMER SERVICE,Michael
6307,18.5,2023,QUALITY CONTROL,James
6896,17.25,2023,RESEARCH AND DEVELOPMENT,Jessica
6989,18.5,2023,RESEARCH AND DEVELOPMENT,Elizabeth
7044,15.5,2023,SALES,David
7062,27.5,2023,CUSTOMER SERVICE,Nancy
7111,18.5,2023,WAREHOUSE,Robert
7139,17.5,2023,WAREHOUSE,Patricia
7195,17.25,2023,RESEARCH AND DEVELOPMENT,Jessica
7376,21.5,2023,WAREHOUSE,William
7804,17.25,2023,WAREHOUSE,Patricia
7997,18.5,2023,SALES,David
8450,18.5,2023,MAINTENANCE,Matthew
8578,,2023,OTHER,Charles
8920,18.5,2023,LOGISTICS AND DISTRIBUTION,Susan
9037,24.5,2023,SALES,Sarah
9184,18.5,2023,RESEARCH AND DEVELOPMENT,Jennifer
9274,24.5,2023,SALES,Karen
9424,23.5,2023,PROCUREMENT,Christopher
9863,19.5,2023,RESEARCH AND DEVELOPMENT,Jennifer
9965,17.0,2023,WAREHOUSE,Richard
40,16.0,2024,ADMINISTRATION,Joseph
214,29.0,2024,IT DEPARTMENT,Mary
238,18.0,2024,LOGISTICS AND DISTRIBUTION,Linda
697,17.5,2024,RESEARCH AND DEVELOPMENT,Elizabeth
896,17.5,2024,WAREHOUSE,Robert
1408,16.0,2024,LOGISTICS AND DISTRIBUTION,Linda
1429,16.5,2024,LOGISTICS AND DISTRIBUTION,Anthony
1887,18.5,2024,WAREHOUSE,William
2524,17.5,2024,RESEARCH AND DEVELOPMENT,Jessica
2716,22.0,2024,LOGISTICS AND DISTRIBUTION,Linda
2898,19.0,2024,MARKETING,Lisa
4245,18.0,2024,WAREHOUSE,Robert
4261,17.5,2024,QUALITY CONTROL,John
4408,17.5,2024,QUALITY CONTROL,James
4482,16.0,2024,SALES,David
4491,22.0,2024,CUSTOMER SERVICE,Nancy
4526,17.25,2024,SALES,Karen
4632,20.0,2024,RESEARCH AND DEVELOPMENT,Jessica
4698,28.0,2024,MARKETING,Sandra
5256,31.25,2024,SALES,Karen
5603,17.75,2024,SALES,Sarah
5977,18.0,2024,RESEARCH AND DEVELOPMENT,Thomas
6042,17.5,2024,CUSTOMER SERVICE,Michael
6307,19.0,2024,QUALITY CONTROL,James
6637,19.0,2024,CUSTOMER SERVICE,Barbara
6896,17.75,2024,RESEARCH AND DEVELOPMENT,Jessica
6989,19.0,2024,RESEARCH AND DEVELOPMENT,Elizabeth
7044,16.0,2024,SALES,David
7062,28.0,2024,CUSTOMER SERVICE,Nancy
7111,19.0,2024,WAREHOUSE,Robert
7139,18.0,2024,WAREHOUSE,Patricia
7195,17.75,2024,RESEARCH AND DEVELOPMENT,Jessica
7376,22.0,2024,WAREHOUSE,William
7804,17.75,2024,WAREHOUSE,Patricia
7997,19.0,2024,SALES,David
8450,19.0,2024,MAINTENANCE,Matthew
8578,,2024,OTHER,Charles
8863,16.0,2024,QUALITY CONTROL,Ashley
8920,19.0,2024,LOGISTICS AND DISTRIBUTION,Susan
9037,,2024,SALES,Sarah
9184,19.0,2024,RESEARCH AND DEVELOPMENT,Jennifer
9274,25.0,2024,SALES,Karen
9424,24.0,2024,PROCUREMENT,Christopher
9863,20.0,2024,RESEARCH AND DEVELOPMENT,Jennifer
9965,17.5,2024,WAREHOUSE,Richard
