employee_id,year,violations,pay_rate,department,Supervisor,violation_cost
40,2024,19,16.0,ADMINISTRATION,Joseph,304.0
214,2024,20,29.0,IT DEPARTMENT,Mary,580.0
238,2021,30,16.5,LOGISTICS AND DISTRIBUTION,Linda,495.0
238,2022,103,17.0,LOGISTICS AND DISTRIBUTION,Linda,1751.0
238,2023,27,17.5,LOGISTICS AND DISTRIBUTION,Linda,472.5
238,2024,14,18.0,LOGISTICS AND DISTRIBUTION,Linda,252.0
697,2021,83,16.0,RESEARCH AND DEVELOPMENT,Elizabeth,1328.0
697,2022,205,16.5,RESEARCH AND DEVELOPMENT,Elizabeth,3382.5
697,2023,66,17.0,RESEARCH AND DEVELOPMENT,Elizabeth,1122.0
697,2024,33,17.5,RESEARCH AND DEVELOPMENT,Elizabeth,577.5
896,2021,49,16.0,WAREHOUSE,Robert,784.0
896,2022,76,16.5,WAREHOUSE,Robert,1254.0
896,2023,11,17.0,WAREHOUSE,Robert,187.0
896,2024,1,17.5,WAREHOUSE,Robert,17.5
1408,2024,31,16.0,LOGISTICS AND DISTRIBUTION,Linda,496.0
1429,2024,11,16.5,LOGISTICS AND DISTRIBUTION,Anthony,181.5
1887,2021,55,17.0,WAREHOUSE,William,935.0
1887,2022,62,17.5,WAREHOUSE,William,1085.0
1887,2023,24,,WAREHOUSE,William,
1887,2024,21,18.5,WAREHOUSE,William,388.5
2524,2022,76,16.5,RESEARCH AND DEVELOPMENT,Jessica,1254.0
2524,2023,57,17.0,RESEARCH AND DEVELOPMENT,Jessica,969.0
2524,2024,22,17.5,RESEARCH AND DEVELOPMENT,Jessica,385.0
2716,2021,22,20.5,LOGISTICS AND DISTRIBUTION,Linda,451.0
2716,2022,74,21.0,LOGISTICS AND DISTRIBUTION,Linda,1554.0
2716,2023,16,21.5,LOGISTICS AND DISTRIBUTION,Linda,344.0
2716,2024,17,22.0,LOGISTICS AND DISTRIBUTION,Linda,374.0
2898,2021,67,17.5,MARKETING,Lisa,1172.5
2898,2022,114,18.0,MARKETING,Lisa,2052.0
2898,2023,34,18.5,MARKETING,Lisa,629.0
2898,2024,25,19.0,MARKETING,Lisa,475.0
4245,2021,56,16.5,WAREHOUSE,Robert,924.0
4245,2022,70,17.0,WAREHOUSE,Robert,1190.0
4245,2023,23,17.5,WAREHOUSE,Robert,402.5
4245,2024,10,18.0,WAREHOUSE,Robert,180.0
4261,2023,9,17.0,QUALITY CONTROL,John,153.0
4261,2024,32,17.5,QUALITY CONTROL,John,560.0
4408,2024,33,17.5,QUALITY CONTROL,James,577.5
4482,2024,5,16.0,SALES,David,80.0
4491,2022,96,21.0,CUSTOMER SERVICE,Nancy,2016.0
4491,2023,46,21.5,CUSTOMER SERVICE,Nancy,989.0
4491,2024,34,22.0,CUSTOMER SERVICE,Nancy,748.0
4526,2022,109,16.25,SALES,Karen,1771.25
4526,2023,45,16.75,SALES,Karen,753.75
4526,2024,30,17.25,SALES,Karen,517.5
4632,2022,0,19.0,RESEARCH AND DEVELOPMENT,Jessica,0.0
4632,2023,14,19.5,RESEARCH AND DEVELOPMENT,Jessica,273.0
4632,2024,177,20.0,RESEARCH AND DEVELOPMENT,Jessica,3540.0
4698,2021,51,26.5,MARKETING,Sandra,1351.5
4698,2022,122,27.0,MARKETING,Sandra,3294.0
4698,2023,26,27.5,MARKETING,Sandra,715.0
4698,2024,4,28.0,MARKETING,Sandra,112.0
5256,2024,5,31.25,SALES,Karen,156.25
5603,2021,45,,SALES,Sarah,
5603,2022,35,16.75,SALES,Sarah,586.25
5603,2023,19,17.25,SALES,Sarah,327.75
5603,2024,13,17.75,SALES,Sarah,230.75
5977,2022,34,17.0,RESEARCH AND DEVELOPMENT,Thomas,578.0
5977,2023,31,17.5,RESEARCH AND DEVELOPMENT,Thomas,542.5
5977,2024,22,18.0,RESEARCH AND DEVELOPMENT,Thomas,396.0
6042,2023,71,17.0,CUSTOMER SERVICE,Michael,1207.0
6042,2024,4,17.5,CUSTOMER SERVICE,Michael,70.0
6307,2021,26,17.5,QUALITY CONTROL,James,455.0
6307,2022,37,18.0,QUALITY CONTROL,James,666.0
6307,2023,14,18.5,QUALITY CONTROL,James,259.0
6307,2024,18,19.0,QUALITY CONTROL,James,342.0
6637,2024,11,19.0,CUSTOMER SERVICE,Barbara,209.0
6896,2021,52,16.25,RESEARCH AND DEVELOPMENT,Jessica,845.0
6896,2022,111,16.75,RESEARCH AND DEVELOPMENT,Jessica,1859.25
6896,2023,13,17.25,RESEARCH AND DEVELOPMENT,Jessica,224.25
6896,2024,6,17.75,RESEARCH AND DEVELOPMENT,Jessica,106.5
6989,2021,55,17.5,RESEARCH AND DEVELOPMENT,Elizabeth,962.5
6989,2022,79,18.0,RESEARCH AND DEVELOPMENT,Elizabeth,1422.0
6989,2023,19,18.5,RESEARCH AND DEVELOPMENT,Elizabeth,351.5
6989,2024,9,19.0,RESEARCH AND DEVELOPMENT,Elizabeth,171.0
7044,2021,4,14.5,SALES,David,58.0
7044,2022,12,15.0,SALES,David,180.0
7044,2023,11,15.5,SALES,David,170.5
7044,2024,13,16.0,SALES,David,208.0
7062,2021,62,26.5,CUSTOMER SERVICE,Nancy,1643.0
7062,2022,124,27.0,CUSTOMER SERVICE,Nancy,3348.0
7062,2023,32,27.5,CUSTOMER SERVICE,Nancy,880.0
7062,2024,20,28.0,CUSTOMER SERVICE,Nancy,560.0
7111,2021,11,17.5,WAREHOUSE,Robert,192.5
7111,2022,27,,WAREHOUSE,Robert,
7111,2023,22,18.5,WAREHOUSE,Robert,407.0
7111,2024,11,19.0,WAREHOUSE,Robert,209.0
7139,2022,24,17.0,WAREHOUSE,Patricia,408.0
7139,2023,23,17.5,WAREHOUSE,Patricia,402.5
7139,2024,10,18.0,WAREHOUSE,Patricia,180.0
7195,2021,68,16.25,RESEARCH AND DEVELOPMENT,Jessica,1105.0
7195,2022,154,16.75,RESEARCH AND DEVELOPMENT,Jessica,2579.5
7195,2023,30,17.25,RESEARCH AND DEVELOPMENT,Jessica,517.5
7195,2024,21,17.75,RESEARCH AND DEVELOPMENT,Jessica,372.75
7376,2021,13,20.5,WAREHOUSE,William,266.5
7376,2022,10,21.0,WAREHOUSE,William,210.0
7376,2023,11,21.5,WAREHOUSE,William,236.5
7376,2024,8,22.0,WAREHOUSE,William,176.0
7804,2023,180,17.25,WAREHOUSE,Patricia,3105.0
7804,2024,88,17.75,WAREHOUSE,Patricia,1562.0
7997,2021,57,17.5,SALES,David,997.5
7997,2022,65,18.0,SALES,David,1170.0
7997,2023,9,18.5,SALES,David,166.5
7997,2024,1,19.0,SALES,David,19.0
8450,2021,10,17.5,MAINTENANCE,Matthew,175.0
8450,2022,89,18.0,MAINTENANCE,Matthew,1602.0
8450,2023,231,18.5,MAINTENANCE,Matthew,4273.5
8450,2024,87,19.0,MAINTENANCE,Matthew,1653.0
8578,2021,0,25.5,OTHER,Charles,0.0
8578,2022,46,26.0,OTHER,Charles,1196.0
8578,2023,110,,OTHER,Charles,
8578,2024,5,,OTHER,Charles,
8863,2024,14,16.0,QUALITY CONTROL,Ashley,224.0
8920,2021,103,17.5,LOGISTICS AND DISTRIBUTION,Susan,1802.5
8920,2022,183,18.0,LOGISTICS AND DISTRIBUTION,Susan,3294.0
8920,2023,46,18.5,LOGISTICS AND DISTRIBUTION,Susan,851.0
8920,2024,31,19.0,LOGISTICS AND DISTRIBUTION,Susan,589.0
9037,2021,81,23.5,SALES,Sarah,1903.5
9037,2022,142,24.0,SALES,Sarah,3408.0
9037,2023,24,24.5,SALES,Sarah,588.0
9037,2024,29,,SALES,Sarah,
9184,2023,85,18.5,RESEARCH AND DEVELOPMENT,Jennifer,1572.5
9184,2024,82,19.0,RESEARCH AND DEVELOPMENT,Jennifer,1558.0
9274,2021,64,23.5,SALES,Karen,1504.0
9274,2022,148,24.0,SALES,Karen,3552.0
9274,2023,15,24.5,SALES,Karen,367.5
9274,2024,14,25.0,SALES,Karen,350.0
