Employee ID,Total Violations,Total Cost ($),Department,Manager,Avg Pay Rate ($)
8450,417,7703.5,MAINTENANCE,Matthew,18.25
8920,363,6536.5,LOGISTICS AND DISTRIBUTION,Susan,18.25
7062,238,6431.0,CUSTOMER SERVICE,Nancy,27.25
697,387,6410.0,RESEARCH AND DEVELOPMENT,Elizabeth,16.75
9037,276,5899.5,SALES,Sarah,24.0
9274,241,5773.5,SALES,Karen,24.25
4698,203,5472.5,MARKETING,Sandra,27.25
7804,268,4667.0,WAREHOUSE,Patricia,17.5
7195,273,4574.75,RESEARCH AND DEVELOPMENT,Jessica,17.0
2898,240,4328.5,MARKETING,Lisa,18.25
4632,191,3813.0,RESEARCH AND DEVELOPMENT,Jessica,19.5
4491,176,3753.0,CUSTOMER SERVICE,Nancy,21.5
9184,167,3130.5,RESEARCH AND DEVELOPMENT,Jennifer,18.75
4526,184,3042.5,SALES,Karen,16.75
6896,182,3035.0,RESEARCH AND DEVELOPMENT,Jessica,17.0
238,174,2970.5,LOGISTICS AND DISTRIBUTION,Linda,17.25
6989,162,2907.0,RESEARCH AND DEVELOPMENT,Elizabeth,18.25
2716,129,2723.0,LOGISTICS AND DISTRIBUTION,Linda,21.25
4245,159,2696.5,WAREHOUSE,Robert,17.25
2524,155,2608.0,RESEARCH AND DEVELOPMENT,Jessica,17.0
9965,152,2520.5,WAREHOUSE,Richard,16.75
1887,162,2408.5,WAREHOUSE,William,17.666666666666668
7997,132,2353.0,SALES,David,18.25
896,137,2242.5,WAREHOUSE,Robert,16.75
6307,95,1722.0,QUALITY CONTROL,James,18.25
5977,87,1516.5,RESEARCH AND DEVELOPMENT,Thomas,17.5
6042,75,1277.0,CUSTOMER SERVICE,Michael,17.25
8578,161,1196.0,OTHER,Charles,25.75
9424,49,1149.0,PROCUREMENT,Christopher,23.5
5603,112,1144.75,SALES,Sarah,17.25
9863,59,1107.5,RESEARCH AND DEVELOPMENT,Jennifer,19.25
7139,57,990.5,WAREHOUSE,Patricia,17.5
7376,42,889.0,WAREHOUSE,William,21.25
7111,71,808.5,WAREHOUSE,Robert,18.333333333333332
4261,41,713.0,QUALITY CONTROL,John,17.25
7044,40,616.5,SALES,David,15.25
214,20,580.0,IT DEPARTMENT,Mary,29.0
4408,33,577.5,QUALITY CONTROL,James,17.5
1408,31,496.0,LOGISTICS AND DISTRIBUTION,Linda,16.0
40,19,304.0,ADMINISTRATION,Joseph,16.0
8863,14,224.0,QUALITY CONTROL,Ashley,16.0
6637,11,209.0,CUSTOMER SERVICE,Barbara,19.0
1429,11,181.5,LOGISTICS AND DISTRIBUTION,Anthony,16.5
5256,5,156.25,SALES,Karen,31.25
4482,5,80.0,SALES,David,16.0
